tempC, dowthermA Density KilogramPerCubicMeter,therminolVP1 Density KilogramPerCubicMeter
20,1061,1064.85858467893
30,1052.5,1056.32369589926
40,1044,1047.86513256389
50,1035.5,1039.47130825882
60,1027,1031.13063657006
70,1018.5,1022.83153108359
80,1010,1014.56240538542
90,1001.5,1006.31167306156
100,993,998.067747697988
110,984.5,989.81904288072
120,976,981.553972195753
130,967.5,973.260949229085
140,959,964.928387566718
150,950.5,956.54470079465
160,942,948.098302498883
170,933.5,939.577606265415
180,925,930.971025680248

