tempC, dowthermA DynamicViscosity PascalSecond,therminolVP1 DynamicViscosity PascalSecond
20,0.00523888900132832,0.00414429206465297
30,0.00339210562643541,0.00327978311969266
40,0.00249192542731864,0.00264912088376468
50,0.00196176737453389,0.00217825825701958
60,0.00161348603883797,0.0018194294143009
70,0.00136772332505495,0.00154095687662029
80,0.00118530710113207,0.00132130638356154
90,0.00104470911086865,0.00114551000598274
100,0.00093313257865277,0.00100295314212995
110,0.000842500939456883,0.000885970316171282
120,0.000767469378676379,0.000788933506189741
130,0.00070436226061659,0.00070764773666589
140,0.000650570098045034,0.000638942635821798
150,0.000604189985597269,0.000580391529310228
160,0.000563802154186403,0.000530115096107507
170,0.000528326151893261,0.000486642064549367
180,0.000496925435309845,0.000448809000551493

