tempC, dowthermA SpecificHeatCapacity JoulePerKilogramKelvin,therminolVP1 SpecificHeatCapacity JoulePerKilogramKelvin
20,1574.4,1543.15233225474
30,1602.6,1573.93559946122
40,1630.8,1604.2286580298
50,1659,1634.06057302248
60,1687.2,1663.46040950125
70,1715.4,1692.45723252813
80,1743.6,1721.08010716511
90,1771.8,1749.35809847419
100,1800,1777.32027151736
110,1828.2,1804.99569135664
120,1856.4,1832.41342305402
130,1884.6,1859.6025316715
140,1912.8,1886.59208227107
150,1941,1913.41113991475
160,1969.2,1940.08876966453
170,1997.4,1966.65403658241
180,2025.6,1993.13600573038

