tempDegreeC , dowthermAPrandtlNumber , therminolVP1PrandtlNumber 
 20,59.42440089114775,46.923506762759
30,39.62236499216755,38.14311426312574
40,29.969262440053377,31.63293544178622
50,24.287851301132264,26.697693022585245
60,20.56097918978416,22.88278972368216
70,17.9372522308812,19.882819313221376
80,15.996141343141463,17.487575215708148
90,14.506391870196506,15.549198080521656
100,13.330465409325285,13.961628133982659
110,12.381513002532744,12.647429966360171
120,11.60203708937158,11.549151692565724
130,10.95248445839955,10.623540188247905
140,10.404769929268737,9.837594866771514
150,9.938413237663552,9.165828830432066
160,9.538137474431828,8.58833759400267
170,9.19232278564111,8.089417193368595
180,8.891980227593834,7.656561942656287

